date,kind,avg_price,lo80,hi80,lo95,hi95
2004-01-01,actual,121643.0,,,,
2004-02-01,actual,120782.0,,,,
2004-03-01,actual,123480.0,,,,
2004-04-01,actual,130269.0,,,,
2004-05-01,actual,138326.0,,,,
2004-06-01,actual,143978.0,,,,
2004-07-01,actual,145906.0,,,,
2004-08-01,actual,146217.0,,,,
2004-09-01,actual,144790.0,,,,
2004-10-01,actual,141782.0,,,,
2004-11-01,actual,138564.0,,,,
2004-12-01,actual,139580.0,,,,
2005-01-01,actual,141298.0,,,,
2005-02-01,actual,141391.0,,,,
2005-03-01,actual,141511.0,,,,
2005-04-01,actual,142176.0,,,,
2005-05-01,actual,146102.0,,,,
2005-06-01,actual,147943.0,,,,
2005-07-01,actual,148735.0,,,,
2005-08-01,actual,150528.0,,,,
2005-09-01,actual,150815.0,,,,
2005-10-01,actual,150516.0,,,,
2005-11-01,actual,148896.0,,,,
2005-12-01,actual,149470.0,,,,
2006-01-01,actual,151810.0,,,,
2006-02-01,actual,154949.0,,,,
2006-03-01,actual,153908.0,,,,
2006-04-01,actual,155226.0,,,,
2006-05-01,actual,157535.0,,,,
2006-06-01,actual,163251.0,,,,
2006-07-01,actual,165774.0,,,,
2006-08-01,actual,167486.0,,,,
2006-09-01,actual,167649.0,,,,
2006-10-01,actual,170778.0,,,,
2006-11-01,actual,171115.0,,,,
2006-12-01,actual,173928.0,,,,
2007-01-01,actual,171962.0,,,,
2007-02-01,actual,170601.0,,,,
2007-03-01,actual,170537.0,,,,
2007-04-01,actual,176618.0,,,,
2007-05-01,actual,184730.0,,,,
2007-06-01,actual,187470.0,,,,
2007-07-01,actual,190450.0,,,,
2007-08-01,actual,191207.0,,,,
2007-09-01,actual,195921.0,,,,
2007-10-01,actual,192875.0,,,,
2007-11-01,actual,193481.0,,,,
2007-12-01,actual,192249.0,,,,
2008-01-01,actual,192209.0,,,,
2008-02-01,actual,190220.0,,,,
2008-03-01,actual,187310.0,,,,
2008-04-01,actual,189475.0,,,,
2008-05-01,actual,191565.0,,,,
2008-06-01,actual,191810.0,,,,
2008-07-01,actual,192796.0,,,,
2008-08-01,actual,188391.0,,,,
2008-09-01,actual,187116.0,,,,
2008-10-01,actual,180881.0,,,,
2008-11-01,actual,176880.0,,,,
2008-12-01,actual,171308.0,,,,
2009-01-01,actual,166748.0,,,,
2009-02-01,actual,161698.0,,,,
2009-03-01,actual,158844.0,,,,
2009-04-01,actual,159254.0,,,,
2009-05-01,actual,165971.0,,,,
2009-06-01,actual,172449.0,,,,
2009-07-01,actual,176983.0,,,,
2009-08-01,actual,178746.0,,,,
2009-09-01,actual,179508.0,,,,
2009-10-01,actual,182574.0,,,,
2009-11-01,actual,185458.0,,,,
2009-12-01,actual,185286.0,,,,
2010-01-01,actual,183578.0,,,,
2010-02-01,actual,181022.0,,,,
2010-03-01,actual,181232.0,,,,
2010-04-01,actual,182519.0,,,,
2010-05-01,actual,181547.0,,,,
2010-06-01,actual,185192.0,,,,
2010-07-01,actual,186645.0,,,,
2010-08-01,actual,188380.0,,,,
2010-09-01,actual,188069.0,,,,
2010-10-01,actual,184610.0,,,,
2010-11-01,actual,185748.0,,,,
2010-12-01,actual,184599.0,,,,
2011-01-01,actual,183526.0,,,,
2011-02-01,actual,178178.0,,,,
2011-03-01,actual,174031.0,,,,
2011-04-01,actual,174103.0,,,,
2011-05-01,actual,176824.0,,,,
2011-06-01,actual,177679.0,,,,
2011-07-01,actual,177908.0,,,,
2011-08-01,actual,178826.0,,,,
2011-09-01,actual,180255.0,,,,
2011-10-01,actual,179436.0,,,,
2011-11-01,actual,177767.0,,,,
2011-12-01,actual,173741.0,,,,
2012-01-01,actual,172860.0,,,,
2012-02-01,actual,171220.0,,,,
2012-03-01,actual,172192.0,,,,
2012-04-01,actual,173213.0,,,,
2012-05-01,actual,174695.0,,,,
2012-06-01,actual,177473.0,,,,
2012-07-01,actual,180011.0,,,,
2012-08-01,actual,181383.0,,,,
2012-09-01,actual,180675.0,,,,
2012-10-01,actual,177710.0,,,,
2012-11-01,actual,174616.0,,,,
2012-12-01,actual,171267.0,,,,
2013-01-01,actual,166879.0,,,,
2013-02-01,actual,165475.0,,,,
2013-03-01,actual,165130.0,,,,
2013-04-01,actual,170069.0,,,,
2013-05-01,actual,174193.0,,,,
2013-06-01,actual,178948.0,,,,
2013-07-01,actual,178630.0,,,,
2013-08-01,actual,179428.0,,,,
2013-09-01,actual,178063.0,,,,
2013-10-01,actual,179839.0,,,,
2013-11-01,actual,178649.0,,,,
2013-12-01,actual,180195.0,,,,
2014-01-01,actual,177747.0,,,,
2014-02-01,actual,176908.0,,,,
2014-03-01,actual,175181.0,,,,
2014-04-01,actual,178671.0,,,,
2014-05-01,actual,182632.0,,,,
2014-06-01,actual,188805.0,,,,
2014-07-01,actual,192239.0,,,,
2014-08-01,actual,193017.0,,,,
2014-09-01,actual,193004.0,,,,
2014-10-01,actual,191501.0,,,,
2014-11-01,actual,192132.0,,,,
2014-12-01,actual,191781.0,,,,
2015-01-01,actual,191732.0,,,,
2015-02-01,actual,194684.0,,,,
2015-03-01,actual,202935.0,,,,
2015-04-01,actual,198875.0,,,,
2015-05-01,actual,196875.0,,,,
2015-06-01,actual,187282.0,,,,
2015-07-01,actual,193244.0,,,,
2015-08-01,actual,193613.0,,,,
2015-09-01,actual,196753.0,,,,
2015-10-01,actual,196032.0,,,,
2015-11-01,actual,197729.0,,,,
2015-12-01,actual,199069.0,,,,
2016-01-01,actual,197517.0,,,,
2016-02-01,actual,195557.0,,,,
2016-03-01,actual,196980.0,,,,
2016-04-01,actual,198091.0,,,,
2016-05-01,actual,197833.0,,,,
2016-06-01,actual,190911.0,,,,
2016-07-01,actual,193105.0,,,,
2016-08-01,actual,193834.0,,,,
2016-09-01,actual,198043.0,,,,
2016-10-01,actual,198064.0,,,,
2016-11-01,actual,198127.0,,,,
2016-12-01,actual,195466.0,,,,
2017-01-01,actual,196485.0,,,,
2017-02-01,actual,195850.0,,,,
2017-03-01,actual,195150.0,,,,
2017-04-01,actual,194970.0,,,,
2017-05-01,actual,198557.0,,,,
2017-06-01,actual,203018.0,,,,
2017-07-01,actual,207434.0,,,,
2017-08-01,actual,210090.0,,,,
2017-09-01,actual,213318.0,,,,
2017-10-01,actual,211747.0,,,,
2017-11-01,actual,212056.0,,,,
2017-12-01,actual,210755.0,,,,
2018-01-01,actual,213478.0,,,,
2018-02-01,actual,217801.0,,,,
2018-03-01,actual,219097.0,,,,
2018-04-01,actual,220778.0,,,,
2018-05-01,actual,218983.0,,,,
2018-06-01,actual,221837.0,,,,
2018-07-01,actual,222173.0,,,,
2018-08-01,actual,224351.0,,,,
2018-09-01,actual,227306.0,,,,
2018-10-01,actual,228359.0,,,,
2018-11-01,actual,229589.0,,,,
2018-12-01,actual,227520.0,,,,
2019-01-01,actual,229979.0,,,,
2019-02-01,actual,226627.0,,,,
2019-03-01,actual,227473.0,,,,
2019-04-01,actual,227023.0,,,,
2019-05-01,actual,228957.0,,,,
2019-06-01,actual,231166.0,,,,
2019-07-01,actual,232829.0,,,,
2019-08-01,actual,234686.0,,,,
2019-09-01,actual,238309.0,,,,
2019-10-01,actual,239838.0,,,,
2019-11-01,actual,241686.0,,,,
2019-12-01,actual,238161.0,,,,
2020-01-01,actual,238303.0,,,,
2020-02-01,actual,238429.0,,,,
2020-03-01,actual,238240.0,,,,
2020-04-01,actual,235552.0,,,,
2020-05-01,actual,237819.0,,,,
2020-06-01,actual,243672.0,,,,
2020-07-01,actual,247497.0,,,,
2020-08-01,actual,246382.0,,,,
2020-09-01,actual,243435.0,,,,
2020-10-01,actual,244127.0,,,,
2020-11-01,actual,245837.0,,,,
2020-12-01,actual,247145.0,,,,
2021-01-01,actual,245487.0,,,,
2021-02-01,actual,244301.0,,,,
2021-03-01,actual,246868.0,,,,
2021-04-01,actual,249892.0,,,,
2021-05-01,actual,254949.0,,,,
2021-06-01,actual,256066.0,,,,
2021-07-01,actual,263383.0,,,,
2021-08-01,actual,267109.0,,,,
2021-09-01,actual,271028.0,,,,
2021-10-01,actual,266952.0,,,,
2021-11-01,actual,266138.0,,,,
2021-12-01,actual,260601.0,,,,
2022-01-01,actual,263265.0,,,,
2022-02-01,actual,265204.0,,,,
2022-03-01,actual,273625.0,,,,
2022-04-01,actual,273312.0,,,,
2022-05-01,actual,272663.0,,,,
2022-06-01,actual,273421.0,,,,
2022-07-01,actual,277331.0,,,,
2022-08-01,actual,281994.0,,,,
