snapshot_date,captured_at,n_listings,reported_total,median_price,mean_price,p25_price,p75_price,n_reduced_listings,n_new_7d,n_new_30d,n_warnings
2026-09-08,2026-09-08T17:10:35.145494+00:00,1867,1867,320000.0,424814.4295661489,220000.0,484997.5,399,295,895,0
2026-09-09,2026-09-09T16:35:34.143978+00:00,1844,1844,324497.5,427178.7554229935,220000.0,488500.0,402,293,886,0
2026-09-10,2026-09-10T17:06:24.967752+00:00,1856,1856,320000.0,426395.8103448276,220000.0,485750.0,405,323,889,0
2026-09-11,2026-09-11T11:33:36.496101+00:00,1861,1861,324000.0,426651.592692101,220000.0,485000.0,405,309,899,0
2026-09-12,2026-09-12T10:57:37.841474+00:00,1870,1870,325000.0,428247.1197860963,220000.0,489500.0,401,321,914,0
2026-09-13,2026-09-13T12:05:07.877404+00:00,1894,1894,325000.0,426475.77296726505,220000.0,485000.0,401,325,925,0
2026-09-14,2026-09-14T13:02:59.997447+00:00,1920,1920,324497.5,424923.76197916665,220000.0,485000.0,399,331,929,0
2026-09-15,2026-09-15T11:54:10.729611+00:00,1909,1912,325000.0,428678.4379256155,220000.0,490000.0,401,321,935,0
2026-09-16,2026-09-16T11:49:37.101378+00:00,1892,1892,325000.0,431060.8657505285,224250.0,495000.0,399,310,918,0
2026-09-17,2026-09-17T11:52:55.515333+00:00,1868,1872,325000.0,432178.4277301927,224250.0,495000.0,402,305,902,0
2026-09-18,2026-09-18T11:28:43.313367+00:00,1879,1880,325000.0,429584.5172964343,225000.0,490997.5,405,312,931,0
2026-09-19,2026-09-19T11:12:10.474882+00:00,1891,1891,325000.0,425126.7805393972,225000.0,485000.0,405,304,955,0
2026-09-20,2026-09-20T11:36:51.340049+00:00,1914,1914,325000.0,423317.00208986417,220000.0,480000.0,405,302,948,0
2026-09-21,2026-09-21T13:01:32.567175+00:00,1944,1942,325000.0,422628.7309670782,220000.0,480000.0,407,342,957,0
2026-09-22,2026-09-22T11:51:31.398413+00:00,1936,1936,324497.5,420229.4876033058,220000.0,479250.0,410,326,946,0
2026-09-23,2026-09-23T11:51:13.700559+00:00,1911,1912,325000.0,420991.26268969127,220000.0,479500.0,410,318,925,0
