month,averagePrice,averagePriceDetached,averagePriceSemiDetached,averagePriceTerraced,averagePriceFlatMaisonette,averagePriceFirstTimeBuyer,averagePriceFormerOwnerOccupier,averagePriceNewBuild,averagePriceExistingProperty,averagePriceCash,averagePriceMortgage,housePriceIndex,percentageChange,percentageAnnualChange,salesVolume,date
2004-01,121643,284604,168251,134778,104824,,,149205.0,116585.0,,,45.0,,,1097.0,2004-01-01
2004-02,120782,275960,164833,133200,104676,,,148796.0,115712.0,,,44.7,-0.7,,811.0,2004-02-01
2004-03,123480,279632,167847,136011,107208,,,151785.0,118321.0,,,45.7,2.2,,1092.0,2004-03-01
2004-04,130269,285947,176283,143826,113479,,,158626.0,124941.0,,,48.2,5.5,,1402.0,2004-04-01
2004-05,138326,300046,187137,153191,120557,,,167473.0,132740.0,,,51.1,6.2,,1345.0,2004-05-01
2004-06,143978,308006,193829,159290,125788,,,174345.0,138162.0,,,53.2,4.1,,1526.0,2004-06-01
2004-07,145906,316119,196775,161935,127163,,,176228.0,140046.0,,,53.9,1.3,,1573.0,2004-07-01
2004-08,146217,320142,197367,162290,127272,,,175925.0,140396.0,,,54.1,0.2,,1338.0,2004-08-01
2004-09,144790,319987,196394,161180,125716,,,173455.0,139083.0,,,53.5,-1.0,,1286.0,2004-09-01
2004-10,141782,312971,191614,157068,123339,,,170998.0,136106.0,,,52.4,-2.1,,1317.0,2004-10-01
2004-11,138564,306265,187911,153980,120368,,,168061.0,132946.0,,,51.2,-2.3,,1247.0,2004-11-01
2004-12,139580,306838,188865,155317,121315,,,170583.0,133823.0,,,51.6,0.7,,1199.0,2004-12-01
2005-01,141298,311597,191146,157680,122676,,,174402.0,135342.0,,,52.2,1.2,16.2,940.0,2005-01-01
2005-02,141391,310949,191241,157454,122828,,,176441.0,135303.0,,,52.3,0.1,17.1,773.0,2005-02-01
2005-03,141511,308750,190710,157297,122849,,,178222.0,135319.0,,,52.3,0.1,14.6,897.0,2005-03-01
2005-04,142176,302727,189905,157530,123634,,,180812.0,135863.0,,,52.6,0.5,9.1,1312.0,2005-04-01
2005-05,146102,307037,192994,161344,127244,,,185973.0,139606.0,,,54.0,2.8,5.6,1369.0,2005-05-01
2005-06,147943,308545,194798,163263,128911,,,187765.0,141394.0,,,54.7,1.3,2.8,1419.0,2005-06-01
2005-07,148735,311624,196498,164523,129512,,,187847.0,142200.0,,,55.0,0.5,1.9,1558.0,2005-07-01
2005-08,150528,315930,199419,166954,130987,,,189906.0,143924.0,,,55.7,1.2,2.9,1307.0,2005-08-01
2005-09,150815,320203,200777,168028,131063,,,190664.0,144178.0,,,55.8,0.2,4.2,1424.0,2005-09-01
2005-10,150516,322476,200885,167956,130719,,,190810.0,143864.0,,,55.6,-0.2,6.2,1163.0,2005-10-01
2005-11,148896,317480,198282,166287,129328,,,189656.0,142269.0,,,55.0,-1.1,7.5,1287.0,2005-11-01
2005-12,149470,313273,196477,165559,130165,,,190606.0,142806.0,,,55.3,0.4,7.1,1312.0,2005-12-01
2006-01,151810,317104,199596,168443,132175,,,193438.0,145049.0,,,56.1,1.6,7.4,1073.0,2006-01-01
2006-02,154949,320252,202855,171575,134991,,,198093.0,147950.0,,,57.3,2.1,9.6,690.0,2006-02-01
2006-03,153908,317700,202735,171401,133883,,,197527.0,146877.0,,,56.9,-0.7,8.8,1271.0,2006-03-01
2006-04,155226,314222,202922,172239,135213,,,199670.0,148085.0,,,57.4,0.9,9.2,1228.0,2006-04-01
